"%Inc Armour from Tree","방어 증가%(트리)"
"Mana Leech Cap:","마나 흡수량:"
"Mana Leech Rate:","마나 흡수율:"
"Mana Leech/On Hit Rate","마나 흡수 비율"
"Mana Regen","마나 재생"
"Mana Regeneration:","마나 재생:"
"Max Chain Count:","최대 연쇄 수:"
"Max Poison Stacks:","최대 중독 스택:"
"Maximum Hit Taken:","Maximum Hit Taken:"
"Melee Avoid Ch.:","근접 회피 확률:"
"Melee Evade Chance","근접 회피 확률"
"MH Att. per second:","주무기 초당 공격 횟수:"
"MH Chance to Hit:","주무기 명중율:"
"MH Crit Effect Mod:","주무기 치명타 효과 모드:"
"MH Eff. DPS Mod:","주무기 유효DPS모드:"
"MH Inc. Att. Speed:","주무기 공격 속도 증가:"
"MH More Att. Speed:","주무기 공격 속도 추가:"
"MH Source Cold:","주무기 냉기 소스:"
"MH Source Lightning:","주무기 번개 소스:"
"MH Stun Duration:","주무기 기절 지속시간:"
"MH Total Increased:","주무기 총증가:"
"Mind over Matter:","물질보다 정신:"
"Mine Deton. Radius:","지뢰 폭발 범위:"
"Minion","소환수"
"Mitigation","경감"
"More/less","추가/감소"
"Movement Speed:","이동 속도:"
"Notes","노트"
"OH Accuracy:","보조무기 정확도:"
"OH Average Hit:","보조무기 평균 피해:"
"OH Crit Chance:","보조무기 치명타 확률:"
"OH Crit Multiplier:","보조무기 치명타 피해:"
"OH Hit Damage:","보조무기 명중 피해:"
"OH Inc. Crit Chance:","보조무기 치명타확률 증가:"
"OH Source Chaos:","보조무기 카오스 소스:"
"OH Source Fire:","보조무기 화염 소스:"
"OH Source Physical:","보조무기 물리 소스:"
"OH Stun Threshold:","보조무기 기절 한계:"
"OH Total More:","보조무기 총추가:"
"Other Defences:","기타 방어:"
"Phys. Damage Reduction","물리 피해 감소"
"Physical Damage Gain As Chaos","카오스로 물리 피해 획득"
"Physical Damage Gain As Fire","화염으로 물리 피해 획득"
"Physical Damage Reduction","물리 피해 감소"
"Physical:","물리:"
"Player","플레이어"
"Poison DPS","중독 DPS"
"Poison:","중독:"
"Proj. Speed Mod:","투사체 속도 모드:"
"Projectile Ch.:","투사체 확률:"
"Projectile Evade Chance","투사체 회피 확률"
"Rate per instance:","Rate per instance:"
"Recharge Rate:","재충전 비율:"
"Reduction from Armour: {0}%","방어력 감소: {0}%"
"Reservation","예약"
"Reserved:","점유:"
"Resistance","저항"
"Secondary Duration:","2차 지속시간:"
"Shock Dur. Mod:","충격 지속시간 모드:"
"Skill","스킬"
"Skill Cooldown","재사용 대기시간"
"Skill DPS:","스킬 DPS:"
"Skill Hit Damage:","스킬명중피해:"
"Skill types","스킬 종류"
"Source","소스"
"Source Cold:","냉기 소스:"
"Source Lightning:","번개 소스:"
"Source Physical:","물리 소스:"
"Speed","속도"
"Spell Block Chance","주문 막기 확률"
"Spell Ddg. Chance:","주문 회피 확률:"
"Spell Projectile Ch.:","주문 투사체 확률:"
"Str. Required:","필요 힘:"
"Strength Required","필요 힘"
"Stun Duration:","기절 지속시간:"
"Time to reach cap: {0}","Time to reach cap: {0}"
"Total","총"
"Total Damage per Ignite","점화당 총 피해"
"Total damage:","피해 합계:"
"Total DPS inc. Ignite","점화 총 DPS 증가"
"Total from Base:","기본 합계:"
"Total from Intelligence:","지능 합계:"
"Total from Skill:","스킬 합계:"
"Total from Tree:","트리 합계:"
"Total leeched per instance:","Total leeched per instance:"
"Total Mana","총 마나"
"Total Pool:","Total Pool:"
"Total: {0}%","합계: {0}%"
"Totem Life:","토템 생명력:"
"Totem Place Time:","토템 설치 시간:"
"Trap Cooldown","덫 쿨타임"
"Trap Throwing Time","덫 투척 시간"
"Type","종류"
"Unreserved Mana","비점유 마나"
"Value","값"
"Weapon Range:","무기 범위:"
"x {0} (attack rate)","x {0} (attack rate)"
"x {0} (base leech rate is {1}% per second)","x {0} (base leech rate is {1}% per second)"
"x {0} (cast rate)","x {0} (cast rate)"
"x {0} (chance to hit)","x {0} (적중율)"
"x {0} (duration modifier)","x {0} (지속 시간 수정자)"
"x {0} (hit rate)","x {0} (hit rate)"
"x {0} (increased/reduced duration)","x {0} (increased/reduced duration)"
"x {0} (increased/reduced mana cost)","x {0} (마나 소비 증가/감소)"
"x {0} (increased/reduced)","x {0} (증가/감소)"
"x {0} (life multiplier for this totem type)","x {0} (토템 유형의 생명력 배율)"
"x {0} (more/less duration)","x {0} (more/less duration)"
"x {0} (more/less)","x {0} (추가/감소)"
"x {0} (portion of instances created by crits)","x {0} (portion of instances created by crits)"
"x {0} (portion of instances created by non-crits)","x {0} (portion of instances created by non-crits)"
"x {0} (ruthless blow effect modifier)","x {0} (무자비한 타격 효과 수정자)"
"x {0} {1}% converted to other damage types)","x {0} {1}% 다른 피해 유형으로 전환)"
"x {0}% (percentage of life to maximum leech rate)","x {0}% (percentage of life to maximum leech rate)"
"x 0.5 (ignite deals 50% per second)","x 0.5 (점화 피해 초 당  50%)"
"# of Challenger Charges (if not maximum):","도전자 충전 수(최대가 아닐때)"
"# of Crab Barriers (if not maximum):","게의 방어막 수(최대가 아닌 경우):"
"# of Enemies affected:","영향을 받는 적의 수:"
"# of Enemies Killed by Totems Recently","최근 토템에 의해 처치된 적의 수:"
"# of Freeze/Shock/Ignite on Enemy:","동결/감전/점화된 적의 수:"
"# of Inspiration Charges (if not maximum):","영감 충전 수(최대가 아닐때)"
"# of Mines Detonated Recently:","최근에 폭발한 지뢰 개수:"
"# of Nearby Corpses","주변 시체 수:"
"# of Poison on Enemy:","# 중독된 적의 수:"
"# of Poisons applied Recently:","최근에 적용한 독의 수:"
"# of Rampage Kills:","광란의 적 처치 횟수:"
"# of Shocked Enemies Killed Recently:","최근 감전으로 죽인 적의 수:"
"# of Skills Used Recently:","최근에 사용한 스킬 개수:"
"# of Spiders:","거미 수:"
"# of Traps Triggered Recently:","최근에 발동한 덫 수:"
"# of Withered Stacks:","위축 스택:"
"{0}% to enemy Chaos Resistance","{0}% 적 카오스 저항"
"10% additional Physical Damage Reduction","추가적인 물리 피해 10% 감소"
"10% increased Damage Taken by enemy","적에게 받은 피해 10% 증가"
"10% more Minion Damage","소환수 피해 10% 증가"
"15% increased Minion Attack and Cast Speed","소환수의 공격 및 시전 속도 15% 증가"
"20% increased Fire Damage Taken by enemy","적에게 받은 화염 피해 20% 증가"
"20% less enemy Movement Speed","적 이동속도 20% 감소"
"50% less Duration of Bleed","출혈 지속 시간 50% 감소"
"50% less Duration of Poison","중독 지속 시간 50% 감소"
"Act {0}{1}%)","액트 {0}{1}%)"
"Are you always moving?","항상 이동 상태"
"Are you always on Full Life?","항상 생명력을 가득 유지합니까?"
"Are you Blinded?","실명 되었나?"
"Are you Chilled?","냉각 되었나?"
"Are you Frozen?","동결 되었나?"
"Are you in a Bloodstorm?","혈풍을 가지고 있나요?"
"Are you in Her Embrace?","여신의 포옹 안에 있나요?"
"Are you Leeching Life?","생명력을 흡수를 합니까?"
"Are you Leeching?","흡수하나요?"
"Are you on Chilled Ground?","얼음 지대에 있나요?"
"Are you on Shocked Ground?","감전 지대에 있나요?"
"Are you Shocked?","감전 되었나?"
"Armour calculation mode:","방어구 계산 방식:"
"Aspect of the Avian:","새의 위상:"
"Aspect of the Crab:","게의 위상:"
"Assassin's Mark:","암살자의 징표:"
"Awakening Level:","각성 레벨:"
"Banner Stages:","깃발 단계"
"Bladestorm:","Bladestorm:"
"Blocked hit from a Unique Recently?","Blocked hit from a Unique Recently?"
"but you can use this option to force it if necessary.","필요한 경우 이 옵션을 체크하여 강제 설정할 수 있습니다."
"Cannot Regen Life, Mana or ES?","생명력,마나,에너지보호막 재생 불가"
"Conductivity:","전도성:"
"Consumed a corpse Recently?","최근에 시신을 소모했나요?"
"Crit Damage","크리티컬 피해"
"Dark Pact:","Dark Pact:"
"Default is 1; maximum is 5.","Default is 1; maximum is 5."
"Do you always have Energy Shield?","항상 에너지 보호막을 유지합니까?"
"Do you have a Totem summoned?","토템을 소환합니까?"
"Do you have Divinity?","신성이 있나?"
"Do you have Onslaught?","맹공을 가지고 있나요?"
"Do you have Soul Gain Prevention?","최근에 영혼 획득 방지를 했나요?"
"Do you have Unholy Might?","불경한 힘을 가지고 있나요?"
"Do you use Challenger Charges?","도전자 충전을 사용합니까?"
"Do you use Frenzy Charges?","격분 충전을 사용합니까?"
"Do you use Power Charges?","권능 충전을 사용합니까?"
"Do your minions use Endur. Charges?","당신의 소환수가 인내 충전을 사용?"
"Do your minions use Power Charges?","당신의 소환수가 권능 충전을 사용?"
"Elemental Weakness:","원소 약화:"
"Enable curses:","저주를 사용합니까?"
"Enable Summoned Ursa's Rallying Cry:","소환된 곰에게 집결의 함성 사용:"
"Enemy avoid Elem. Status Ailments:","적 회피 원소/상태이상:"
"Enemy Chaos Resistance:","적의 카오스 저항"
"Enemy has Elemental/Chaos Resist:","적의 원소/카오스 저항:"
"Enemy is Hexproof?","적 사술방지?"
"Enemy Lightning Resistance:","적의 번개 저항"
"Enemy Physical Damage reduction:","적의 물리 피해 감소:"
"Enemy takes red. Extra Crit Damage:","몬스터가 치명타로 인한 추가 피해 감소"
"Enemy was Hit by Fire Damage?","적이 화염피해를 입었나?"
"Energy Shield Recharge started Recently?","최근 에너지 보호막 충전이 시작되었나요?"
"Exposure Type:","노출 속성:"
"Feeding Frenzy:","Feeding Frenzy:"
"For reference, a level 70 monster has 6449 base life, and a level 80 monster has 12466.","참고로, 레벨 70의 몬스터는 6449의 기본 생명력을 가지고 레벨 80의 몬스터는 12466의 기본 생명력을 가진다"
"Gains reduced Flask Charges:","플라스크 충전 감소:"
"Have you been Crit Recently?","최근 치명타를 받았나요?"
"Have you been hit by Fire Recently?","최근에 화염 피해를 받았나요?"
"Have you been Hit Recently?","최근에 맞았나요?"
"Have you Blocked a Spell Recently?","최근 주문을 차단했나요?"
"Have you Blocked Recently?","최근에 차단했나요?"
"Have you Crit Recently?","최근에 치명타를 입혔나요?"
"Have you Frozen an Enemy Recently?","최근에 적을 동결시킨 적이 있는가?"
"Have you Ignited an Enemy Recently?","최근 적을 점화했나요?"
"Have you Shattered an Enemy Recently?","최근 적을 산산조각 냈나요?"
"Have you used a Cold Skill in the past 10s?","최근 10초 동안 냉기 스킬을 사용했나요?"
"Have you used a Fire Skill in the past 10s?","최근 10초 동안 화염 스킬을 사용했나요?"
"Have you used a Light. Skill in the past 10s?","최근 10초 동안 번개 스킬을 사용했나요?"
"Have you used a Movement Skill Recently?","최근에 이동 스킬을 사용했나요?"
"Have you used a Vaal Skill Recently?","최근에 바알 스킬을 사용했나요?"
"Have your Minions Killed Recently?","최근에 소환수들이 죽었나요?"
"Have your Totems Killed Recently?","최근에 토템이 죽었나요?"
"'Hexproof'","'Hexproof'"
"High tier: 36-40%","고티어: 36-40%"
"Ice Nova:","Ice Nova:"
"Ignore Skill Hit Damage?","스킬 적중 피해 무시?"
"In addition to allowing 'against Blinded Enemies' modifiers to apply,","In addition to allowing 'against Blinded Enemies' modifiers to apply,"
"In addition to allowing any 'while on Consecrated Ground' modifiers to apply,","In addition to allowing any 'while on Consecrated Ground' modifiers to apply,"
"In addition to allowing any 'while you have Tailwind' modifiers to apply,","In addition to allowing any 'while you have Tailwind' modifiers to apply,"
"In high tier maps, 'of Enfeeblement' applies level 15.","In high tier maps, 'of Enfeeblement' applies level 15."
"In high tier maps, 'of Vulnerability' applies level 15.","In high tier maps, 'of Vulnerability' applies level 15."
"In mid tier maps, 'of Enfeeblement' applies level 10.","In mid tier maps, 'of Enfeeblement' applies level 10."
"In mid tier maps, 'of Vulnerability' applies level 10.","In mid tier maps, 'of Vulnerability' applies level 10."
"Innervate:","Innervate:"
"Is Attached to the Enemy?","Is Attached to the Enemy?"
"Is Avian's Might active?","새의 힘이 활성회되었나요?"
"Is Bastion of Hope active?","희망의 보루가 활성화되었나요?"
"Is Cat's Stealth active?","고양이의 은신이 활성화되었나요?"
"Is Infusion active?","주입이 활성화 되었나요?"
"Is Pendulum of Destruction active?","파괴의 추가 활성화되어 있나요?"
"Is the enemy at Close Range?","Is the enemy at Close Range?"
"Is the enemy Blinded?","적이 실명 상태인가?"
"Is the enemy Chilled?","적이 냉각 상태인가?"
"Is the enemy Cursed?","적이 저주를 받았나?"
"Is the enemy Frozen?","적이 동결 상태인가?"
"Is the enemy Ignited?","적이 점화 상태인가?"
"Is the enemy Maimed?","적이 힘줄절단 상태인가?"
"Is the enemy near you?","근처에 적이 있나?"
"Is the enemy on Full Life?","적이 최대 생명력인가?"
"Is the enemy Poisoned?","적이 중독되었나?"
"Is the enemy Shocked?","적이 감전 상태인가?"
"Is the enemy Unnerved?","적이 낙담 상태인가?"
"Is your Crit Chance Lucky?","치명타 확률이 행운입니까?"
"Less Area of Effect:","효과 범위 감소:"
"Less Recovery Rate of Life and Energy Shield:","생명력,에너지보호막 회복속도 감소:"
"Low tier: 25-30%","저티어: 25-30%"
"Map Suffix Modifiers:","맵 접미어 수정자:"
"Melee distance to enemy:","적과의 거리:"
"Mid tier: 5-8%","중간티어: 5-8%"
"'of Congealment'","'of Congealment'"
"'of Exposure'","'of Exposure'"
"'of Insulation'","'of Insulation'"
"'of Rust'","'of Rust'"
"'of Smothering'","'of Smothering'"
"'of Toughness'","'of Toughness'"
"Player has Point Blank?","플러이어 근접사격 보유?"
"Poacher's Mark:","밀렵꾼의 징표:"
"Projectile Weakness:","투사체 약화:"
"Rage:","격노:"
"Raise Spiders:","거미 소환:"
"Resistance penalty:","저항 패널티:"
"Scorching Ray Totem stage count:","작열 광선 단계 수:"
"Sets the level of Assassin's Mark to apply to the player.","Sets the level of Assassin's Mark to apply to the player."
"Sets the level of Despair to apply to the player.","Sets the level of Despair to apply to the player."
"Sets the level of Enfeeble to apply to the player.","Sets the level of Enfeeble to apply to the player."
"Sets the level of Frostbite to apply to the player.","Sets the level of Frostbite to apply to the player."
"Sets the level of Projectile Weakness to apply to the player.","Sets the level of Projectile Weakness to apply to the player."
"Sets the level of Temporal Chains to apply to the player.","Sets the level of Temporal Chains to apply to the player."
"Sets the level of Vulnerability to apply to the player.","Sets the level of Vulnerability to apply to the player."
"Sets the maximum life of the skeleton that is being targeted.","Sets the maximum life of the skeleton that is being targeted."
"Sets the number of enemies affected by Siphoning Trap.","Sets the number of enemies affected by Siphoning Trap."
"Shaper/Guardian adds the following modifiers:","형성자/수호자에게 다음의 속성 부여:"
"Skeleton Life:","해골 생명력:"
"Stages:","단계:"
"Stance:","시전자의 자세는?"
"Standard Boss adds the following modifiers:","표준 보스는 다음과 같은 수식어가 추가됩니다:"
"Summon Lightning Golem:","번개 골렘 소환:"
"Temporal Chains:","시간의 사슬:"
"The default level is the level requirement of the Raise Spectre skill.","The default level is the level requirement of the Raise Spectre skill."
"This adds the following modifiers:","This adds the following modifiers:"
"This also implies that the enemy is Chilled.","This also implies that the enemy is Chilled."
"This also implies that you are Chilled.","This also implies that you are Chilled."
"This also implies that you are Shocked.","This also implies that you are Shocked."
"This also implies that you have Blocked Recently.","This also implies that you have Blocked Recently."
"This also implies that you have used a Skill Recently.","This also implies that you have used a Skill Recently."
"This also implies that your Skills have Crit Recently.","This also implies that your Skills have Crit Recently."
"This is automatically enabled if you have a flask active,","This is automatically enabled if you have a flask active,"
"This option prevents EE from being reset by the hit damage of your main skill.","This option prevents EE from being reset by the hit damage of your main skill."
"This overrides the default enemy level used to estimate your hit and evade chances.","This overrides the default enemy level used to estimate your hit and evade chances."
"this will apply the 6% life regen modifier granted by Consecrated Ground.","this will apply the 6% life regen modifier granted by Consecrated Ground."
"This will enable the Divinity buff:","This will enable the Divinity buff:"
"this will enable the Tailwind buff itself. (You are 10% faster)","this will enable the Tailwind buff itself. (You are 10% faster)"
"this will lessen the enemy's chance to hit, and thereby increase your evade chance.","this will lessen the enemy's chance to hit, and thereby increase your evade chance."
"used in-game to calculate the estimate shown on the character sheet.","used in-game to calculate the estimate shown on the character sheet."
"Vortex:","소용돌이:"
"Warlord's Mark:","전쟁군주의 징표:"
"When In Combat","전투 중"
"Withering Touch:","Withering Touch:"
"You will automatically be considered to be on Full Life if you have Chaos Inoculation,","카오스 면역이 있으면 자동으로 최대 생명력으로 간주되나,"
"You will automatically be considered to have a Totem if your main skill is a Totem,","You will automatically be considered to have a Totem if your main skill is a Totem,"
"You will automatically be considered to have Cast a Spell Recently if your main skill is a spell,","You will automatically be considered to have Cast a Spell Recently if your main skill is a spell,"
"You will automatically be considered to have used a Minion skill Recently if your main skill is a minion skill,","You will automatically be considered to have used a Minion skill Recently if your main skill is a minion skill,"
"You will automatically be considered to have used a Vaal skill Recently if your main skill is a Vaal skill,","You will automatically be considered to have used a Vaal skill Recently if your main skill is a Vaal skill,"
"Your enemy will automatically be considered to be Unique if one of the Boss options is selected.","Your enemy will automatically be considered to be Unique if one of the Boss options is selected."
"Ample","Ample"
"Bubbling","Bubbling"
"Caustic","부식성"
"Chemist's","Chemist's"
"Enduring","인내의"
"Flagellant's","Flagellant's"
"of Acceleration","of Acceleration"
"of Animation","of Animation"
"of Craving","of Craving"
"of Dousing","of Dousing"
"of Efficiency","of Efficiency"
"of Gluttony","of Gluttony"
"of Heat","of Heat"
"of Iron Skin","of Iron Skin"
"of Reflexes","of Reflexes"
"of Staunching","of Staunching"
"of Warding","of Warding"
"Perpetual","Perpetual"
"Saturated","Saturated"
"Surgeon's","Surgeon's"
"1 Blade","1 칼날"
"1 explosion","1 폭발"
"1 Projectile","1 투사체"
"1 Stage","1 단계"
"10 Energy Explosion","10 에너지 폭발"
"10 Stages","10 단계"
"15 Stacks","15 스택"
"20 Energy Pulse","20 에너지 펄스"
"4 explosions","4 폭발"
"40 Blades","40 칼날"
"5 Energy Explosion","5 에너지 폭발"
"50 Blades","50 칼날"
"6 Stages","6 단계"
"Abberath's Fury","아버라스의 광분"
"Added Chaos Damage","카오스 피해 추가 보조"
"Added Fire Damage","화염 피해 추가 보조"
"Additional Accuracy","정확도 추가 보조"
"Aftershock","여진"
"Ancestral Call","선대의 부름 보조"
"Ancestral Protector","선대의 수호자"
"Anger","분노"
"Animate Guardian's Weapon","움직이는 수호자의 무기"
"Arc","연쇄 번개"
"Arcane Surge","비전 쇄도 보조"
"Archmage","대마법사 보조"
"Arctic Breath","한기의 숨결"
"Arrow Nova","화살 산개 보조"
"Aspect of the Avian","새의 위상"
"Aspect of the Crab","게의 위상"
"Assassin's Mark","암살자의 징표"
"Awakened Added Cold Damage","각성한 냉기 피해 추가 보조"
"Awakened Added Lightning Damage","각성한 번개 피해 추가 보조"
"Awakened Arrow Nova","각성한 화살 산개 보조"
"Awakened Brutality","각성한 포악함 보조"
"Awakened Cast On Critical Strike","각성한 치명타 시 시전 보조"
"Awakened Chain","각성한 연쇄 보조"
"Awakened Controlled Destruction","각성한 제어된 파괴 보조"
"Awakened Deadly Ailments","각성한 치명적인 상태 이상 보조"
"Awakened Elemental Focus","각성한 원소 집중 보조"
"Awakened Fork","각성한 갈래 보조"
"Awakened Greater Multiple Projectiles","각성한 상위 다중 투사체 보조"
"Awakened Increased Area of Effect","각성한 효과 범위 증가 보조"
"Awakened Melee Physical Damage","각성한 근접 물리 피해 보조"
"Awakened Minion Damage","각성한 소환수 피해 보조"
"Awakened Spell Cascade","각성한 연속 주문 보조"
"Awakened Swift Affliction","각성한 고통 격화 보조"
"Awakened Unleash","각성한 촉발 보조"
"Awakened Void Manipulation","각성한 공허 조작 보조"
"Ballista Totem","쇠뇌 토템 보조"
"Barrage","연발 사격"
"Berserk","광폭"
"Blade Flurry","질풍의 칼날"
"Bladefall","칼날비"
"Blasphemy","신성 모독 보조"
"Blastchain Mine","연쇄 폭발 지뢰 보조"
"Blessing","축복"
"Blind","실명 보조"
"Block Chance Reduction","막기 확률 감소 보조"
"Blood Magic","혈마법 보조"
"Blood Rage","피의 격노"
"Bodyswap","신체 전환"
"Bone Offering","뼈 공물"
"Brand Recall","낙인 소환"
"Brutality","포악함 보조"
"Burning Damage","화상 피해 보조"
"Cascade","폭포"
"Cast on Death","사망 시 시전 보조"
"Cast when Damage Taken","피격 시 시전 보조"
"Cast while Channelling","집중 유지 중 시전 보조"
"Caustic Ground","부식성 대지"
"Chain Hook","사슬 갈고리"
"Chance to Flee","도망칠 확률 보조"
"Charged Dash","충전 질주"
"Charged Traps","충전된 덫 보조"
"Cleave","회전베기"
"Cluster Traps","무리 덫 보조"
"Cold Aegis","냉기의 비호"
"Cold Snap","한파"
"Combustion","연소 보조"
"Commandment of Flames","화염의 율령"
"Commandment of Frost","서리의 율령"
"Commandment of Inferno","지옥불의 율령"
"Commandment of Light","빛의 율령"
"Commandment of Spite","원한의 율령"
"Commandment of the Tempest","폭풍의 율령"
"Commandment of War","전쟁의 율령"
"Conductivity","전도성"
"Consecrated Path","축성의 진격"
"Controlled Destruction","제어된 파괴 보조"
"Convert to cold","냉기로 전환"
"Convert to lightning","번개로 전환"
"Corpse Walk","시체 보행"
"Create Lesser Shrine","화위 성소 창조"
"Cremation","시체 소각"
"Curse On Hit","명중 시 저주 보조"
"Damage on Full Life","최대 생명력 시 피해 보조"
"Dash","질주"
"Death Aura","죽음의 오라"
"Death Wish","죽음 동경"
"Debuff Explosion - 1 Stack","디버프 폭발 - 1 스택"
"Decay","부패 보조"
"Decree of Blades","칼날의 법령"
"Decree of Force","힘의 법령"
"Decree of Fury","광분의 법령"
"Decree of Ire","노여움의 법령"
"Decree of Reflection","투영의 법령"
