"Maelstrom","큰 소용돌이"
"Impaler","임펠러"
"Iridescence","무지개 빛"
"Jack","잭"
"Knell","종소리"
"Knot","매듭"
"Knuckle","돌기"
"Lash","속눈썹"
"League","리그"
"Leash","속박"
"Leer","곁눈"
"Lock","잠그다"
"Locket","로켓"
"Loop","고리"
"Mangler","맹랑히"
"Mantle","맨틀"
"March","3월"
"Mark","표시"
"Mast","돛대"
"Medallion","큰 메달"
"Mitts","멍청이"
"Nail","못"
"Nails","손톱"
"Needle","바늘"
"Nock","활고자"
"Noose","올가미"
"Pace","속도"
"Palm","손바닥"
"Paw","발"
"Peak","정점"
"Pelt","던지다"
"Pendant","펜던트"
"Pile","말뚝"
"Pillar","기둥"
"Pith","목수"
"Pole","폴"
"Post","게시하다"
"Quill","깃"
"Rain","비"
"Ram","램"
"Razor","면도칼"
"Reach","도달하다"
"Rend","찢다"
"Road","도로"
"Roar","노호"
"Rock","바위"
"Rod","막대"
"Rook","사기꾼"
"Rosary","묵주"
"Ruin","망치다"
"Salvation","구원"
"Sanctuary","성역"
"Saw","보았다"
"Scalpel","메스 펠트"
"Scarab","풍뎅이"
"Scratch","할퀴다"
"Sever","끊다"
"Shackle","걸쇠"
"Shatter","파편"
"Shell","껍데기"
"Shelter","대피소"
"Shot","사격"
"Shroud","측판"
"Siege","포위"
"Skewer","꼬챙이"
"Skin","피부"
"Slayer","살해자"
"Slicer","얇게 써는 기계"
"Slippers","슬리퍼"
"Smasher","큰 타격"
"Snare","스네어"
"Sole","밑창"
"Song","노래"
"Span","기간"
"Spark","전기불꽃"
"Spawn","알"
"Spear","창"
"Spell","주문"
"Sphere","구체"
"Spike","스파이크"
"Spiker","스파이 커"
"Spiral","나선"
"Spire","첨탑"
"Splitter","쪼개는 도구"
"Spur","박차"
"Star","별"
"Stinger","찌르는 것"
"Strap","견장"
"Stride","보폭"
"Strike","스트라이크"
"Suit","정장"
"Sunder","산산조각"
"Talisman","부적"
"Talons","탤론"
"Tether","밧줄"
"Thirst","갈증"
"Thread","실"
"Thresher","탈곡기"
"Thunder","우뢰"
"Torc","torc."
"Touch","접촉"
"Tower","탑"
"Track","과정"
"Trail","자취"
"Tread","흘레"
"Turn","회전하다"
"Twine","꼬기"
"Twirl","회전"
"Urge","충고하다"
"Veil","베일"
"Visage","얼굴"
"Vise","바이스"
"Visor","챙"
"Volley","발리"
"Ward","수호"
"Watch","보다"
"Weaver","직공"
"Whorl","틀리기"
"Wish","소망"
"Wind","바람"
"Wing","날개"
"Wrap","포장하다"
"Wreck","난파선"
"Cast","깁스"
"Line","라인"
"Tackle","태클"
"Lure","매혹"
"Bait","미끼"
"Fish","생선"
"Breach","위반"
"Angler","낚시꾼"
"Sinker","싱커"
"Chum","친구"
"Gill","아가미"
"Jig","지그"
"Prism","프리즘"
"Hope","희망"
"Dream","꿈"
"Bliss","다시 없는 기쁨"
"Delirium","섬망 상태"
"Solace","위안"
"Wisdom","지혜"
"Desire","욕구"
"Creed","신조"
"Wound","상처"
"Blood","피"
"Scar","흉터"
"Drop","떨어지다"
"Essence","본질"
"Dew","이슬"
"Ichor","이자"
"Sliver","찢어진 조각"
"Splinter","파편"
"Vessel","선박"
"Joy","기쁨"
"Cut","자르다"
"Glimmer","희미한 빛"
"Glisten","반짝임"
"Shine","빛나는"
"Ember","타다 남은 것"
"Lens","렌즈"
"Bloom","꽃"
"Breath","호흡"
"Pause","정지시키다"
"Ornament","장식"
"Curio","진품"
"Flame","화염"
"Gaze","시선"
"Stare","응시"
"Vision","비전"
"Portent","조짐"
"Sight","시력"
"Oculus","oculus."
"Orb","오브"
"Sepulchre","무덤"
"Stone","결석"
"Writ","영장"
"Oath","맹세"
"Deed","증서"
"Scripture","경전"
"Orders","명령"
"Pledge","약속"
"Manifesto","선언서"
"Pact","계약"
"Covenant","계약"
"Testament","성서"
"Vow","맹세"
"Tool","도구"
"Kit","전부"
"Gear","기어"
"Implement","구현하다"
"Device","장치"
"Apparatus","기구"
"Instrument","악기"
"Material","재료"
"Equipment","장비"
"Contraption","신안"
"Disguise","위장하다"
"Cover","씌우다"
"Bauble","값싼 물건"
"Trinket","하찮은 것"
"Fetish","주물"
"Bead","구슬"
"Relic","유물"
"Invitation","초대"
"Passage","통로"
"Key","열쇠"
"Offer","권하다"
"Summons","소환장"
"Bid","매기다"
"Excursion","소풍"
"Undertaking","사업"
"Enterprise","기업"
"Exploration","탐구"
"Journey","여행"
"Expedition","원정"
"Voyage","항해"
"Trek","여행"
"Campaign","운동"
"Quest","탐구"
"Mission","사명"
"Colony","식민지"
"Outpost","전초"
"Mandate","위임"
"Territory","지역"
"Lands","땅"
"Excavation","발굴"
"Tale","이야기"
"Saga","사거"
"Myth","신화"
"Ballad","민요"
"Folktale","민속"
