"# of Rampage Kills:","광란의 적 처치 횟수:"
"Ailment calculation mode:","질병 계산 방법:"
"Movement Skills cost no Mana","이동 스킬 사용에 마나를 소비하지 않음"
"of their movement, reducing to 0% as they travel farther","피해 20% 증가, 투사체의 이동 거리가 멀어질수록 0%로 감소"
"Players gain Onslaught on Kill for 4 seconds","플레이어가 적 처치 시 4초 동안 맹공 획득"
"Primary Projectile Pierces 1 Target","주 투사체가 표적 1개를 관통"
"Projectiles deal 20% increased Damage with Hits to targets at the start","투사체가 발사 지점에 있는 대상에게 명중하는 경우"
"Projectiles Pierce 1 Target","투사체가 표적 1개를 관통"
"Projectiles Pierce 3 additional Targets","투사체가 표적 3개 추가 관통"
"Removes all Mana","모든 마나 제거"
"Secondary Buff Lasts 1 second","2차 버프 1초간 지속"
"Skills which Throw Traps throw up to 1 additional Trap","덫 투척 스킬로 최대 1개의 덫 추가 투척"
"Supported Skills throw up to 1 additional Trap","보조 대상 스킬로 최대 1개의 덫 추가 투척"
"Talismans found in this Area are 1 Tier higher","이 지역에서는 1등급 이상의 부적이 발견됨"
"This Spell gains Intensity when you Cast it, to a maximum of 3","이 주문 시전 시 격렬함 획득, 최대 3 획득"
"Throw up to 1 additional Trap","최대 1개의 덫 추가 투척"
"Tormented Spirits drop 1 additional Rare Item","고통받는 혼백이 희귀 아이템 1개를 추가로 떨어뜨림"
"Trigger Level 1 Blood Rage when you Kill an Enemy","적 처치 시 1레벨 피의 격노 발동"
"Trigger Level 1 Create Lesser Shrine when you Kill an Enemy","적 처치 시 1레벨 하급 성소 창조 발동"
"Trigger Level 18 Animate Guardian's Weapon when Animated Weapon Kills an Enemy","움직이는 무기가 적 처치 시 18레벨 움직이는 수호자의 무기 발동"
"Trigger Level 18 Summon Spectral Wolf on Kill","처치 시 18레벨 영체 늑대 소환 발동"
"Trigger Level 20 Animate Guardian's Weapon when Animated Guardian Kills an Enemy","움직이는 수호자가 적 처치 시 20레벨 수호자의 무기 움직이기 발동"
"Trigger Level 20 Glimpse of Eternity when Hit","피격 시 20레벨 영원의 눈길 발동"
"Trigger Level 8 Summon Raging Spirit on Kill","처치 시 8레벨 격노의 유령 소환 발동"
"Trigger this Skill after Spending a total of 200 Mana","총 200마나 소모 시 이 스킬 발동"
"Triggers Level 20 Primal Aegis when Allocated","할당 시 20레벨 원시 비호 발동"
"Triggers Level 20 Spectral Spirits when Equipped","장착 시 20레벨 영체 혼백 발동"
"Unnerve Enemies for 4 seconds on Hit","명중 시 4초 동안 적 낙담"
"Viper Strike grants Unholy Might for 4 seconds on Hit per Poison on Enemy","맹독 타격 명중 시, 적에게 중첩된 중독 하나당 4초 동안 불결한 힘 적용"
"Warcries Sacrifice 10 Rage if you have at least 25 Rage","격노가 25 이상인 경우 함성이 10의 격노 소모"
"Warcry Skills' Cooldown Time is 2 seconds","함성 스킬의 재사용 대기시간 2초"
"When a Player Kills a Synthesised Rare Monster, they gain its Modifiers for 20 seconds","플레이어가 결합 희귀 몬스터 처치 시 20초 동안 해당 몬스터의 속성 부여 획득"
"When Players Kill a Rare Monster they will gain 1 of its Modifiers for 20 seconds","플레이어가 희귀 몬스터 처치 시 20초 동안 해당 몬스터의 속성 부여 중 1개 획득"
"With 40 Intelligence in Radius, Glacial Cascade has an additional Burst","반경 내 지능이 40 이상이면 빙하 폭포가 1회 추가 폭발"
"With 40 total Dexterity and Strength in Radius, Spectral Shield Throw fires Shard Projectiles when Chaining","반경 내 민첩과 힘의 합이 40 이상이면 환영 방패 투척 연쇄 시 파편 투사체 발사"
"With a Murderous Eye Jewel Socketed, Intimidate Enemies for 4 seconds on Hit with Attacks","살인적인 눈 주얼을 장착하면 공격 명중 시 4초 동안 적 위협"
"With a Searching Eye Jewel Socketed, Maim Enemies for 4 seconds on Hit with Attacks","탐색자의 눈 주얼을 장착하면 공격 명중 시 4초 동안 적 힘줄 절단"
"With at least 40 Dexterity in Radius, Barrage fires an additional projectile simultaneously on the first and final attacks","반경 내 민첩이 40 이상이면 연발 사격의 첫 번째와 마지막 공격 시 추가 투사체를 동시에 발사"
"With at least 40 Dexterity in Radius, Burning Arrow spreads Burning Ground if it Ignites an Enemy","반경 내 민첩이 40 이상이면 불타는 화살이 적 점화 시 용암 지대 확산"
"With at least 40 Dexterity in Radius, Burning Arrow spreads Tar if it does not Ignite an Enemy","반경 내 민첩이 40 이상이면 불타는 화살이 적을 점화하지 않을 시 타르 확산"
"With at least 40 Dexterity in Radius, Fire Trap throws up to 1 additional Trap","반경 내 민첩이 40 이상이면 화염 덫이 최대 1개의 덫 추가 투척"
"With at least 40 Dexterity in Radius, Ice Shot Pierces an additional Target","반경 내 민첩이 40 이상이면 얼음 화살이 표적을 추가 관통"
"With at least 40 Dexterity in Radius, Split Arrow fires Projectiles in Parallel","반경 내 민첩이 40 이상이면 분할 화살이 병렬로 투사체 발사"
"With at least 40 Intelligence in Radius, 1 additional Spark Projectile","반경 내 지능이 40 이상이면 전기불꽃 투사체 추가"
"With at least 40 Intelligence in Radius, Blight inflicts Withered for 2 seconds","반경 내 지능이 40 이상이면 황폐가 2초 동안 위축 적용"
"With at least 40 Intelligence in Radius, Freezing Pulse fires an additional Projectile","반경 내 지능이 40 이상이면 동결 파동이 투사체 추가 발사"
"With at least 40 Intelligence in Radius, Frostbolt fires an additional Projectile","반경 내 지능이 40 이상이면 서리 구체가 투사체를 추가 발사"
"With at least 40 Intelligence in Radius, Spark fires an additional Projectile","반경 내 지능이 40 이상이면 전기불꽃이 투사체를 추가 발사"
"With at least 40 Intelligence in Radius, Spark Projectiles chain an additional time","반경 내 지능이 40 이상이면 전기불꽃 투사체 연쇄 추가"
"With at least 40 Strength in Radius, Ground Slam grants an Endurance Charge on Stun","반경 내 힘이 40 이상인 경우, 대지 강타로 적 기절 시 인내 충전 적용"
"With at least 40 Strength in Radius, Molten Strike fires an additional Projectile","반경 내 힘이 40 이상이면 용암 타격이 투사체를 추가 발사"
"You and Allies affected by your placed Banners Regenerate 0.1% of","설치한 깃발의 영향을 받는 플레이어 및 동료들이"
"You and Allies affected by your placed Banners Regenerate {0} of Life per second for each Stage","설치한 깃발의 영향을 받는 플레이어 및 동료들이 각 단계에서 초당 생명력의 {0} 재생"
"You and Allies affected by your placed Banners Regenerate {0}% of Life per second for each Stage","설치한 깃발의 영향을 받는 플레이어 및 동료들이 각 단계에서 초당 생명력의 {0}% 재생"
"You can inflict up to 300 Ignites on an Enemy","한 명의 적에게 최대 300개의 점화 적용 가능"
"You cannot be Stunned if you've been Stunned or Blocked a Stunning Hit in the past 2 seconds","지난 2초 이내에 기절 타격을 막아내거나 기절 타격에 기절한 경우 기절하지 않음"
"Your Hex Curse Spells create a Hexed Area for 1 second if you Cast them yourself","사술 저주 주문 직접 시전 시 1초 동안 사술 지역을 생성. 사술 지역에 있는 적은 사술에 걸리며,"
"Your Hits inflict Decay, dealing 500 Chaos Damage per second for 8 seconds","명중 시 8초 동안 초당 500 카오스 피해를 주는 부패 유발"
"Your Hits Intimidate Enemies for 4 seconds while you are using Pride","자부심을 사용하는 동안 플레이어가 적 명중 시 4초 동안 적 위협"
"Evasion Per Frenzy Charge","격분 충전 당 회피"
"25% increased Elemental Damage with Maces or Sceptres","철퇴나 셉터 사용 시 원소 피해 25% 증가"
"Amber","호박빛"
"Azure","담청빛"
"Clear","투명한"
"Crimson","진홍빛"
"Enemies Taunted by you deal 20% less Damage with Hits and","플레이어가 도발한 적이 다른 대상에게 주는"
"Golden","금빛"
"Nearby Allies have 20% increased Attack, Cast and Movement Speed","주변 동료들의 공격, 시전 및 이동 속도 20% 증가"
"Opalescent","오팔빛"
"Regenerate 2% of Energy Shield per second for each","최근 4초 이내 플레이어 또는 소환수가 처치한 적 하나당"
"Sepia","적갈빛"
"Silver","은빛"
"Teal","청록빛"
"Verdant","신록빛"
"Violet","보라빛"
"Cast Time","시전 시간"
"Level","레벨"
"Cooldown Time","쿨타임"
"Effectiveness of Added Damage","추가 피해 효과"
"per second, up to 50 per second","1초마다 마나 5 재생, 최대 50 재생"
"and nearby Allies cannot be Stunned","자신 및 주변 동료들은 기절 면역"
"Quality","퀄리티"
"Attacks per Second","초당 공격 횟수"
"Weapon Range","사정 거리"
"Sockets","소켓"
"Chance to Block","막기 확률"
"Exerted Attacks deal 50% more Damage if a Warcry Sacrificed Rage Recently","최근 4초 이내 함성으로 격노를 소모한 경우 전력 공격이 주는 피해 50% 증폭"
"Grants 1 Passive Skill Point","패시브 스킬 포인트 1 포인트 제공"
"Grants 2 Passive Skill Points","패시브 스킬 포인트 2 포인트 제공"
"You take 65% of Damage from Blocked Hits","막아낼 시 65%의 피해를 받음"
"100% chance to Defend with Double Armour","100% 확률로 2배의 방어도로 방어"
"Maximum Damage Reduction for any Damage Type is 50%","모든 피해 유형에 대한 피해 감소의 최대치는 50%"
"Bleeding Enemies you Kill Explode, dealing 10% of","출혈 중인 적을 처치하면 적이 폭발하여"
"their Maximum Life as Physical Damage","최대 생명력의 10%를 물리 피해로 줌"
"Gain Adrenaline for 20 seconds when you reach Low Life if you","아드레날린이 없는 경우 낮은 생명력 상태가 되면"
"do not have Adrenaline","20초 동안 아드레날린 획득"
"If you've Impaled an Enemy Recently, you","최근 4초 이내 적을 꿰뚫은 경우, 자신 및"
"and nearby Allies have +1000 to Armour","주변 동료들의 방어도 +1000"
"You and nearby Allies deal 6 to 12 added physical Damage for","자신 및 주변 동료들이 적을 꿰뚫을 때마다"
"each Impale on Enemy","물리 피해 6~12 추가"
"Inflict 4 additional Impales on Enemies you Impale","자신이 뛔뚫은 적에게 꿰뚫기 4회 추가 부여"
"For 4 seconds after you Impale Enemies, they cannot be Impaled again, and Impales cannot be Called from them","적을 꿰뚫은 후 4초 동안은 해당 적을 꿰뚫을 수 없으며 강철의 부름으로 해당 적의 꿰뚫기를 제거할 수 없음"
"15% increased Effect of Tailwind on you per Gale Force","강풍의 힘 하나당 자신에게 적용되는 순풍 효과 15% 증가"
"20% less Damage taken if you haven't been Hit Recently","최근 4초 이내 피격되지 않은 경우 받는 피해 20% 감폭"
"40% less Evasion Rating if you haven't been Hit Recently","최근 4초 이내 피격되지 않은 경우 회피 40% 감폭"
"20% more Evasion Rating if you've been Hit Recently","최근 4초 이내 피격된 경우 회피 20% 증폭"
"Variant:","유형:"
"Mines Hinder Enemies near them for 2 seconds when they Land,","지뢰 설치 시 주변의 적들을 이동 방해하여 2초 동안"
"reducing Movement Speed by 40%","이동 속도 40% 감소"
"50% less Life Regeneration Rate","생명력 재생 속도 50% 감폭"
"50% less maximum Total Recovery per Second from Life Leech","1초마다 생명력 흡수를 통해 획득하는 최대 총 회복량 50% 감폭"
"Auras from your Skills have 50% more Effect on you","자신의 오라 스킬이 효과 50% 증폭"
"50% more Mana Reserved","마나 점유 50% 증폭"
"While not on Full Life, Sacrifice 20% of Mana per Second to Recover that much Life","생명력이 최대가 아닐 경우, 1초마다 마나의 20%를 희생하여 그와 동일한 수치의 생명력 회복"
"10% increased Critical Strike Chance for each Mine Detonated","최근 4초 이내 폭발한 지뢰 하나당"
"Recently, up to 100%","치명타 확률 10% 증가, 최대 100%"
"+4% to Critical Strike Multiplier for each Mine Detonated","최근 4초 이내 폭발한 지뢰 하나당"
"Recently, up to 40%","치명타 피해 배율 +4%, 최대 40%"
"Ignite a nearby Enemy on Killing an Ignited Enemy","점화된 적 처치 시 주변의 모든 적에게 동일한 점화 피해"
"Mana Reserved","마나 점유"
"Grants a buff which adds lightning damage to spells","Herald of Thunder. 주문과 공격에"
"and attacks. If you kill a shocked enemy, this skill","번개 피해를 추가하는 버프를 부여합니다. 감전된"
"will create a storm, causing lightning bolts to strike","적을 죽이면 이 스킬이 폭풍을 만들어내 일정 시간"
"enemies around you for a duration. The damage","동안 번개 화살이 주변의 적들을 공격합니다. 이"
"inflicted by this skill is not affected by modifiers to","스킬로 인한 피해는 주문 피해 속성 부여에 영향을 받지 않게"
"spell damage.","합니다."
"Instant","즉시"
"Anomalous Herald of Thunder","기묘한 천둥의 전령"
"Divergent Herald of Thunder","상이한 천둥의 전령"
"Anomalous Added Chaos Damage","기묘한 카오스 피해 추가 보조"
"Divergent Added Chaos Damage","상이한 카오스 피해 추가 보조"
"Anomalous Added Cold Damage","기묘한 냉기 피해 추가 보조"
"Divergent Added Cold Damage","상이한 냉기 피해 추가 보조"
"Anomalous Added Fire Damage","기묘한 화염 피해 추가 보조"
"Divergent Added Fire Damage","상이한 화염 피해 추가 보조"
"Anomalous Added Lightning Damage","기묘한 번개 피해 추가 보조"
"Divergent Added Lightning Damage","상이한 번개 피해 추가 보조"
"Anomalous Additional Accuracy","기묘한 정확도 추가 보조"
"Divergent Additional Accuracy","상이한 정확도 추가 보조"
"Anomalous Advanced Traps","기묘한 향상된 덫 보조"
"Divergent Advanced Traps","상이한 향상된 덫 보조"
"Anomalous Ancestral Call","기묘한 선대의 부름 보조"
"Divergent Ancestral Call","상이한 선대의 부름 보조"
"Anomalous Ancestral Cry","기묘한 선대의 함성"
"Divergent Ancestral Cry","상이한 선대의 함성"
"Anomalous Ancestral Protector","기묘한 선대의 수호자"
"Divergent Ancestral Protector","상이한 선대의 수호자"
"Phantasmal Ancestral Protector","몽환적인 선대의 수호자"
"Anomalous Ancestral Warchief","기묘한 선대 대전사"
"Divergent Ancestral Warchief","상이한 선대 대전사"
"Phantasmal Ancestral Warchief","몽환적인 선대 대전사"
"Anomalous Anger","기묘한 분노"
"Divergent Anger","상이한 분노"
"Anomalous Animate Guardian","기묘한 수호자 기동"
"Divergent Animate Guardian","상이한 수호자 기동"
"Anomalous Animate Weapon","기묘한 무기 기동"
"Divergent Animate Weapon","상이한 무기 기동"
"Phantasmal Animate Weapon","몽환적인 무기 기동"
"Anomalous Arc","기묘한 연쇄 번개"
"Divergent Arc","상이한 연쇄 번개"
"Phantasmal Arc","몽환적인 연쇄 번개"
"Anomalous Arcane Cloak","기묘한 비전의 망토"
"Divergent Arcane Cloak","상이한 비전의 망토"
"Anomalous Arcane Surge","기묘한 비전 쇄도 보조"
"Divergent Arcane Surge","상이한 비전 쇄도 보조"
"Anomalous Arcanist Brand","기묘한 신비학자 낙인"
"Divergent Arcanist Brand","상이한 신비학자 낙인"
"Phantasmal Arcanist Brand","몽환적인 신비학자 낙인"
"Anomalous Archmage","기묘한 대마법사 보조"
"Divergent Archmage","상이한 대마법사 보조"
"Anomalous Arctic Armour","기묘한 한기의 방어구"
"Divergent Arctic Armour","상이한 한기의 방어구"
"Anomalous Armageddon Brand","기묘한 종말의 낙인"
"Divergent Armageddon Brand","상이한 종말의 낙인"
"Anomalous Arrow Nova","기묘한 화살 산개 보조"
"Divergent Arrow Nova","상이한 화살 산개 보조"
"Anomalous Artillery Ballista","기묘한 포대 쇠뇌"
"Divergent Artillery Ballista","상이한 포대 쇠뇌"
"Anomalous Assassin's Mark","기묘한 암살자의 징표"
"Divergent Assassin's Mark","상이한 암살자의 징표"
"Anomalous Ball Lightning","기묘한 구형 번개"
"Divergent Ball Lightning","상이한 구형 번개"
"Anomalous Ballista Totem","기묘한 쇠뇌 토템 보조"
"Divergent Ballista Totem","상이한 쇠뇌 토템 보조"
"Phantasmal Ballista Totem","몽환적인 쇠뇌 토템 보조"
"Anomalous Bane","기묘한 파멸"
"Divergent Bane","상이한 파멸"
"Anomalous Barrage","기묘한 연발 사격"
"Divergent Barrage","상이한 연발 사격"
"Phantasmal Barrage","몽환적인 연발 사격"
"Anomalous Bear Trap","기묘한 곰 덫"
"Divergent Bear Trap","상이한 곰 덫"
"Phantasmal Bear Trap","몽환적인 곰 덫"
"Anomalous Berserk","기묘한 광폭"
"Divergent Berserk","상이한 광폭"
"Anomalous Blade Blast","기묘한 칼날 폭격"
"Divergent Blade Blast","상이한 칼날 폭격"
"Phantasmal Blade Blast","몽환적인 칼날 폭격"
"Anomalous Blade Flurry","기묘한 질풍의 칼날"
"Divergent Blade Flurry","상이한 질풍의 칼날"
"Anomalous Blade Vortex","기묘한 칼날 소용돌이"
"Divergent Blade Vortex","상이한 칼날 소용돌이"
"Phantasmal Blade Vortex","몽환적인 칼날 소용돌이"
"Anomalous Bladefall","기묘한 칼날비"
"Divergent Bladefall","상이한 칼날비"
"Anomalous Bladestorm","기묘한 칼날태풍"
"Divergent Bladestorm","상이한 칼날태풍"
"Phantasmal Bladestorm","몽환적인 칼날태풍"
"Anomalous Blasphemy","기묘한 신성 모독 보조"
"Divergent Blasphemy","상이한 신성 모독 보조"
"Anomalous Blast Rain","기묘한 폭발 화살비"
"Divergent Blast Rain","상이한 폭발 화살비"
"Phantasmal Blast Rain","몽환적인 폭발 화살비"
"Anomalous Blastchain Mine","기묘한 연쇄 폭발 지뢰 보조"
"Divergent Blastchain Mine","상이한 연쇄 폭발 지뢰 보조"
"Anomalous Blazing Salvo","기묘한 맹렬한 포격"
"Divergent Blazing Salvo","상이한 맹렬한 포격"
"Anomalous Blight","기묘한 황폐"
"Divergent Blight","상이한 황폐"
"Anomalous Blind","기묘한 실명 보조"
"Divergent Blind","상이한 실명 보조"
"Anomalous Blink Arrow","기묘한 점멸 화살"
"Divergent Blink Arrow","상이한 점멸 화살"
"Phantasmal Blink Arrow","몽환적인 점멸 화살"
"Anomalous Block Chance Reduction","기묘한 막기 확률 감소 보조"
"Anomalous Blood and Sand","기묘한 피와 모래"
